Address,CityOrCounty,State,IncidentDate,Latitude,Longitude
4300 block of Wheeler Road SE,Washington,District of Columbia,25-Oct-15,38.90477236,-77.01628888
682 Dixie Ave.,Bamberg,South Carolina,24-Oct-15,33.29959281,-81.03222935
3500 John A. Merritt Blvd,Nashville,Tennessee,22-Oct-15,36.1683326,-86.828524
300 Campbell Avenue,Calumet City,Illinois,19-Oct-15,41.61332017,-87.55057632
2600 block of Caffin Avenue,New Orleans,Louisiana,18-Oct-15,30.06880013,-89.9308814
2224 First St,Fort Myers,Florida,17-Oct-15,26.6439561,-81.8697314
160 Easy Shopping Place,Elkhart,Indiana,17-Oct-15,41.69184954,-85.96623839
4731 Glenwood Road,Decatur,Georgia,12-Oct-15,33.77121517,-84.29675277
6135 Mount Moriah Road,Memphis,Tennessee,10-Oct-15,35.0702049,-89.8593567
1900 block of West Boulevard,Charlotte,North Carolina,10-Oct-15,35.20787221,-80.83007545
2405 N Flora,Peoria,Illinois,10-Oct-15,40.75167856,-89.61567418
216 E Mountain View Drive,Flagstaff,Arizona,9-Oct-15,35.1888369,-111.6498032
300 block of North Payson Street,Baltimore,Maryland,6-Oct-15,39.23545018,-76.63677351
5400 Reisterstown Road,Baltimore,Maryland,2-Oct-15,39.3460233,-76.6883337
1140 Umpqua College Rd,Roseburg,Oregon,1-Oct-15,43.26473233,-123.3034787
1800 block of Hewitt Avenue,Cincinnati (Evanston),Ohio,28-Sep-15,40.42858964,-82.70242359
300 block of West 42nd Street,Chicago,Illinois,28-Sep-15,41.83861021,-87.68661087
5300 block of South Aberdeen Street,Chicago,Illinois,28-Sep-15,41.83861021,-87.68661087
1921 Oakridge,Dayton,Ohio,28-Sep-15,39.7583862,-84.2358021
1140 Hill Haven Road,Greenville,Georgia,27-Sep-15,33.0322358,-84.71622391
5200 block of South Justine,Chicago,Illinois,27-Sep-15,41.83861021,-87.68661087
1700 E. 18th St.,Kansas City,Missouri,27-Sep-15,38.30885939,-92.50820581
1300 block of May Street,Danville,Illinois,25-Sep-15,40.14209413,-87.61195
5100 block of South Morgan Street,Chicago,Illinois,24-Sep-15,41.83861021,-87.68661087
2900 block of Peach Street,Shreveport,Louisiana,23-Sep-15,30.8956711,-91.67752985
Dale Street and Veronica S. Shoemaker Boulevard,Fort Myers,Florida,23-Sep-15,26.61950094,-81.83031527
1300 block of Reddington Lane,Norcross,Georgia,23-Sep-15,33.94099007,-84.20981416
900 block of Pratt Street,Philadelphia,Pennsylvania,20-Sep-15,40.00763806,-75.1339627
5700 block of South LaSalle,Chicago,Illinois,20-Sep-15,41.83861021,-87.68661087
Pine and Yale,Tulsa,Oklahoma,20-Sep-15,36.13544967,-95.91306967
3900 block of Graceland Avenue,Indianapolis,Indiana,19-Sep-15,39.77710046,-86.14634767
36705 379th Street,Geddes,South Dakota,17-Sep-15,43.25329266,-98.69784861
500 block of W. Broadwell Street,Albion,Michigan,17-Sep-15,42.24778964,-84.75724624
Irvine Turner Boulevard and West Kinney Street,Newark,New Jersey,15-Sep-15,40.72417185,-74.17242155
1910 South Pine Avenue,Ocala,Florida,13-Sep-15,29.1681687,-82.1388776
1500 block of Clanton Street,Shreveport,Louisiana,12-Sep-15,30.8956711,-91.67752985
36 Woodward Street,Rochester,New York,12-Sep-15,43.1644384,-77.5993455
1st Ave. and N. 5th St.,Minneapolis,Minnesota,12-Sep-15,44.96354079,-93.26783453
1200 block of 22nd Ave. N.,Minneapolis,Minnesota,12-Sep-15,44.96354079,-93.26783453
1000 North Carolina Music Factory Blvd.,Charlotte,North Carolina,11-Sep-15,35.20787221,-80.83007545
Channel Drive,Excelsior (Greenwood),Minnesota,10-Sep-15,46.36813604,-93.71317296
N/A,Berlin,Georgia,8-Sep-15,31.0678495,-83.62387996
56th and Green,Chicago,Illinois,8-Sep-15,41.83861021,-87.68661087
9300 block of Sunrise,Gary,Indiana,7-Sep-15,41.59560282,-87.3452059
1909 Blake Street,Denver,Colorado,7-Sep-15,39.75370287,-104.9955519
6800 block of Fieldvale Place,Charlotte,North Carolina,5-Sep-15,35.20787221,-80.83007545
300 block of Pearl Street,Daytona Beach,Florida,5-Sep-15,29.19768392,-81.08995843
5000 block of Hollywood Boulevard,Las Vegas,Nevada,5-Sep-15,36.2277116,-115.2640448
1509 Ashley Street,Columbia,Missouri,5-Sep-15,38.9479389,-92.3260968
3300 block of Sobota Circle,Memphis,Tennessee,30-Aug-15,35.10520292,-89.97735447
618 Henson Road,Bristol,Tennessee,29-Aug-15,36.55604316,-82.21430545
638 ENE Loop 323,Tyler,Texas,29-Aug-15,32.3154021,-95.30500938
589 Flatbush Avenue,Brooklyn,New York,28-Aug-15,40.63439283,-73.95026864
928 Blanco Circle,Salinas,California,27-Aug-15,36.68891743,-121.631812
3025 W. Van Buren Ave,Chicago,Illinois,26-Aug-15,41.83861021,-87.68661087
5000 block of Drew Avenue North,Minneapolis (Brooklyn Center),Minnesota,26-Aug-15,46.36813604,-93.71317296
800 block of 19th Street,West Palm Beach,Florida,26-Aug-15,26.74681035,-80.13150971
Fern Street and Olive Street,New Orleans,Louisiana,25-Aug-15,30.06880013,-89.9308814
1100 block of Kansas Avenue,Modesto,California,23-Aug-15,37.66031058,-120.989212
State Road 408,Orlando (Pine Hills),Florida,22-Aug-15,28.14683286,-83.20422736
302 East Reed Street,Roswell,New Mexico,22-Aug-15,33.37291265,-104.5293172
2700 block of Hinson Drive,Durham,North Carolina,21-Aug-15,35.9809638,-78.9056471
Mathis and Prentice,Cincinnati,Ohio,21-Aug-15,39.14291321,-84.50366914
FM 2360,Grulla (La Grulla),Texas,20-Aug-15,31.53834907,-99.6497468
500 Genesee St,Rochester,New York,19-Aug-15,42.6687355,-75.44096178
3651 Sycamore School Rd,Fort Worth,Texas,16-Aug-15,32.7795423,-97.3463354
5400 block of West Division Street,Chicago,Illinois,16-Aug-15,41.83861021,-87.68661087
Highway 38N,Bennettsville,South Carolina,16-Aug-15,34.63040898,-79.68741982
West Prospect Avenue,Pittsburgh,Pennsylvania,15-Aug-15,40.43946574,-79.97631573
57th Street and South Normandie Avenue,Los Angeles,California,15-Aug-15,34.10482229,-118.4110473
2868 Bamberg Road,Orangeburg,South Carolina,15-Aug-15,33.4788074,-80.9089569
1700 block of East 10th Street,Long Beach,California,10-Aug-15,33.80574739,-118.1612131
Poplar Street,Forest,Mississippi,9-Aug-15,32.35952155,-89.47611934
15200 block of Hazelridge,Detroit,Michigan,9-Aug-15,42.38402073,-83.10165683
40th Street and Pennsylvania Avenue,Kansas City,Missouri,9-Aug-15,38.30885939,-92.50820581
4908 Greenwood Drive,Gastonia,North Carolina,8-Aug-15,35.19240603,-81.23976246
833 Anderson Street,Blytheville,Arkansas,8-Aug-15,35.9193718,-89.8966749
2211 Falling Oaks,Houston,Texas,8-Aug-15,29.91980399,-95.4518521
3182 Airport Road,Barre (Berlin),Vermont,7-Aug-15,44.02009856,-72.61472563
1505 Garden Plaza,Columbia,South Carolina,6-Aug-15,34.0297833,-80.8965664
2500 block of Semple,Saint Louis,Missouri,4-Aug-15,38.30885939,-92.50820581
98 Dwight Street,Brooklyn,New York,3-Aug-15,40.63439283,-73.95026864
Stanley Avenue and Crescent Street,Brooklyn,New York,2-Aug-15,40.63439283,-73.95026864
2700 block of Garrison Avenue,Baltimore,Maryland,2-Aug-15,39.30097988,-76.61064805
4800 block of West Kamerling Avenue,Chicago,Illinois,2-Aug-15,41.83861021,-87.68661087
Barnard Street,Savannah,Georgia,2-Aug-15,32.02831938,-81.17815866
6700 block of South Winchester Avenue,Chicago,Illinois,2-Aug-15,41.83861021,-87.68661087
5801 Shenandoah Way,Orlando,Florida,1-Aug-15,28.5323938,-81.3081236
Brushton Avenue,Pittsburgh,Pennsylvania,30-Jul-15,40.43946574,-79.97631573
900 block of Kent Street,Rockford,Illinois,27-Jul-15,42.26315005,-89.06121191
Thompson and Colorado,Kansas City,Missouri,26-Jul-15,38.30885939,-92.50820581
Piety and Treasure street,New Orleans,Louisiana,26-Jul-15,30.06880013,-89.9308814
500 block of N. 7th Ave,Hopewell,Virginia,25-Jul-15,37.29136494,-77.29854198
200 block of W 29th St,Erie,Pennsylvania,24-Jul-15,42.1166824,-80.07314347
3141 Johnson Street,Lafayette,Louisiana,23-Jul-15,30.2115732,-92.0313942
5500 block of Old Atlanta Road,Suwanee,Georgia,22-Jul-15,34.0505716,-84.06872212
Northwest 25th Avenue and Miami Gardens Drive,Miami Gardens,Florida,21-Jul-15,25.94326339,-80.24253322
E. 153rd St. and the Grand Concourse,Bronx,New York,20-Jul-15,40.84911597,-73.85295233
100 block of North Capitol Street,Suffolk,Virginia,19-Jul-15,36.70178203,-76.63409891
2928 W Kentucky St,Louisville,Kentucky,19-Jul-15,38.2436806,-85.802412
Interstate 64 and Raliegh Street,Rocky Mount,North Carolina,19-Jul-15,35.3662481,-79.42939386
200 block of South Bancroft Street,San Diego,California,18-Jul-15,32.81689046,-117.1333353
Ojai-Santa Paula Street,Santa Paula,California,18-Jul-15,34.35208913,-119.0697213
1550 Weston Ct NE,Salem,Oregon,18-Jul-15,44.92329071,-123.0249508
300 block of Brice Street,Baton Rouge,Louisiana,18-Jul-15,30.4507665,-91.12584647
4400 block of W. Maypole,Chicago,Illinois,17-Jul-15,41.83861021,-87.68661087
3100 block of Sunshine Avenue,Cincinnati (Westwood),Ohio,17-Jul-15,40.42858964,-82.70242359
4051 Amnicola Highway,Chattanooga,Tennessee,16-Jul-15,35.0950826,-85.2534227
Singleton and Hampton,Dallas,Texas,16-Jul-15,32.79464486,-96.76633721
500 block of Center Hill Avenue,Atlanta,Georgia,15-Jul-15,33.76265247,-84.4231419
3500 block of West Garrison Boulevard,Baltimore,Maryland,15-Jul-15,39.30097988,-76.61064805
700 block of Thornhill,Cleveland,Ohio,15-Jul-15,41.47926574,-81.68021483
9200 block of Memorial,Detroit,Michigan,15-Jul-15,41.93132091,-83.3292499
7050 Old State Road,Holly Hill,South Carolina,15-Jul-15,33.85416558,-80.90959195
1100 block of Riverview,Saint Louis,Missouri,14-Jul-15,38.30885939,-92.50820581
11959 162nd Street,Norwalk,California,13-Jul-15,33.90688083,-118.0829152
400 block of McCloud Avenue,Stockton,California,13-Jul-15,37.97672722,-121.3121116
116 Lathrop Avenue,River Forest,Illinois,12-Jul-15,41.8818791,-87.8148992
Sip and Van Wagenen avenues,Jersey City,New Jersey,12-Jul-15,40.12272985,-74.70346139
East 162nd Street and Miles Avenue,Cleveland,Ohio,7-Jul-15,41.47926574,-81.68021483
900 block of West Fayette Street,Baltimore,Maryland,7-Jul-15,39.23545018,-76.63677351
3500 block of Hearne Avenue,Shreveport,Louisiana,5-Jul-15,30.8956711,-91.67752985
1400 block of McCulloch Street,Fort Wayne,Indiana,5-Jul-15,41.08849204,-85.14358989
200 block of S. Clinton St,East Orange,New Jersey,5-Jul-15,40.76505914,-74.21186062
2600 Douglas Place SE,Washington,District of Columbia,4-Jul-15,38.8566268,-76.988052
2500 block of West Broadway,Louisville,Kentucky,4-Jul-15,38.1780769,-85.6667077
Dewey Avenue,Pittsfield,Massachusetts,4-Jul-15,42.45170258,-73.26051754
Bellevue and Rich Street,Syracuse,New York,4-Jul-15,42.6687355,-75.44096178
1100 block of West Avenue,San Antonio,Texas,4-Jul-15,31.53834907,-99.6497468
Lynn and Michigan,Indianapolis,Indiana,2-Jul-15,39.77710046,-86.14634767
13450 NW 30th Ave,Opa Locka,Florida,29-Jun-15,28.14683286,-83.20422736
Gratiot and Loretto,Detroit,Michigan,28-Jun-15,41.93132091,-83.3292499
N/A,Venice,Illinois,28-Jun-15,38.67196255,-90.16885895
100 block of East St,Harrington,Delaware,28-Jun-15,38.92443369,-75.57056872
Weir Street,Taunton,Massachusetts,27-Jun-15,41.90358547,-71.09429142
Stringham Court,Detroit,Michigan,27-Jun-15,42.38402073,-83.10165683
2110 Madison Ave,New York (Manhattan),New York,24-Jun-15,42.6687355,-75.44096178
700 block of East Hilton Street,Philadelphia,Pennsylvania,22-Jun-15,40.00763806,-75.1339627
Rebecca and East Swissvale Avenue,Pittsburgh (Wilkinsburg),Pennsylvania,21-Jun-15,40.99568088,-77.78712223
726 Georgetown St,Lexington,Kentucky,21-Jun-15,38.0423254,-84.45872596
Dexter and Webb,Detroit,Michigan,20-Jun-15,42.38402073,-83.10165683
N/A,Morven,North Carolina,20-Jun-15,34.8643106,-80.00001344
4100 block of Ogden Street,Philadelphia,Pennsylvania,20-Jun-15,40.00763806,-75.1339627
80 River Street,Woonsocket,Rhode Island,19-Jun-15,42.0003818,-71.5177178
110 Calhoun Street,Charleston,South Carolina,17-Jun-15,32.7874404,-79.9330345
600 block of Northwest 177th Street,Miami Gardens,Florida,16-Jun-15,25.94326339,-80.24253322
673 Flatbush Avenue,Brooklyn,New York,15-Jun-15,40.63439283,-73.95026864
2800 block of Mitchell Street,Camden,New Jersey,14-Jun-15,39.936191,-75.10729619
1800 block of North Kingston,Tulsa,Oklahoma,14-Jun-15,36.13544967,-95.91306967
1400 block of North Market Street,Saint Louis,Missouri,14-Jun-15,38.30885939,-92.50820581
600 block of Highway 279,Fayetteville,Georgia,13-Jun-15,33.44825966,-84.46125164
451 North Flynn Street,Milledgeville,Georgia,13-Jun-15,33.0883377,-83.2411491
2409 Creston Avenue,Bronx,New York,13-Jun-15,40.84911597,-73.85295233
500 block of Se 69th St,Oklahoma City,Oklahoma,13-Jun-15,35.46760197,-97.51913834
1623 E. Hudson Street,Columbus,Ohio,13-Jun-15,40.01337313,-82.96638132
24th Avenue and 36th Street,Allapattah,Florida,12-Jun-15,28.14683286,-83.20422736
468 Trumbull Avenue,Bridgeport,Connecticut,11-Jun-15,41.18705826,-73.19553341
3400 block of Burkett,Houston,Texas,11-Jun-15,29.7804724,-95.3863425
South Vermont Avenue and West 88th Street,Los Angeles,California,10-Jun-15,34.10482229,-118.4110473
North Market Street and North Spring Avenue,Saint Louis,Missouri,9-Jun-15,38.30885939,-92.50820581
Boulder Creek Road,Deer Lodge,Montana,7-Jun-15,46.39761789,-112.7329334
100 block of Warren Avenue,Buffalo,New York,6-Jun-15,42.89225205,-78.85941404
100 block of North Lorel Avenue,Chicago,Illinois,6-Jun-15,41.83861021,-87.68661087
900 block of West 3rd St,Davenport,Iowa,5-Jun-15,41.55564824,-90.60545667
2100 block of Governor Nicholls Street,New Orleans,Louisiana,5-Jun-15,30.06880013,-89.9308814
Davidson Street,Wyandanch,New York,3-Jun-15,40.74674088,-73.37693842
16209 block of Laverne Avenue,Cleveland,Ohio,31-May-15,41.47926574,-81.68021483
9222 Ardwick Ardmore Road,Springdale,Maryland,31-May-15,38.93833208,-76.84227076
849 Chapel Street,New Haven,Connecticut,31-May-15,41.3058756,-72.9251339
4669 Bell Road SE,Conyers,Georgia,31-May-15,33.66436216,-83.99681243
4200 block of Market Street,San Diego,California,30-May-15,32.81689046,-117.1333353
84th and Q,Omaha,Nebraska,28-May-15,41.26588379,-96.05382374
6200 block of South Honore Street,Chicago,Illinois,28-May-15,41.83861021,-87.68661087
2700 block of West 3rd Street,Chester,Pennsylvania,28-May-15,39.84562785,-75.37183417
6700 block of Tara Lane,New Orleans,Louisiana,26-May-15,30.06880013,-89.9308814
1816 N Water,Decatur,Illinois,25-May-15,39.85565673,-88.93382251
1002 Main St,Brockton,Massachusetts,24-May-15,42.08207137,-71.02416563
W. 12th Street and Hammerberg Road.,Flint,Michigan,24-May-15,43.02363394,-83.69206403
Smiley Court,Montgomery,Alabama,24-May-15,32.34724369,-86.2672602
2700 block of Dayton,Saint Louis,Missouri,24-May-15,38.30885939,-92.50820581
2400 block of South 9th Street,Fresno,California,23-May-15,36.7826736,-119.794492
800 block of Linwood Avenue,Baltimore,Maryland,20-May-15,39.30097988,-76.61064805
8000 block of School Way,Kinloch,Missouri,18-May-15,38.73840365,-90.32495329
Northwest 75th Street and Northwest 16th Avenue,Miami,Florida,18-May-15,25.77525637,-80.20885121
4671 S Jack Kultgen Fwy,Waco,Texas,17-May-15,31.55913715,-97.18666982
28th Street and Auer Avenue,Milwaukee,Wisconsin,16-May-15,43.0641114,-87.96721631
188 Lewis Street,Rochester,New York,16-May-15,43.1642834,-77.5928747
1700 block of North Broadway,Baltimore,Maryland,16-May-15,39.30097988,-76.61064805
Pard Road,Capitol Heights,Maryland,12-May-15,38.87695016,-76.90745885
800 block of West Calle Medina Road,Tucson,Arizona,12-May-15,32.15690153,-110.8775061
3600 block of Bosworth Rd,Cleveland,Ohio,10-May-15,41.47926574,-81.68021483
Bostwick Avenue,Jersey City,New Jersey,10-May-15,40.12272985,-74.70346139
19th Avenue and South 16th Street,Newark,New Jersey,10-May-15,40.72417185,-74.17242155
2300 block of Baltimore Avenue,Cincinnati,Ohio,7-May-15,39.14291321,-84.50366914
16000 block of Cathedral Street,Detroit,Michigan,7-May-15,41.93132091,-83.3292499
100 block of Roosevelt Avenue,Buffalo,New York,4-May-15,42.89225205,-78.85941404
1600 block of South William Street,South Bend,Indiana,3-May-15,41.67725366,-86.26911678
San Jacinto at Elgin,Houston,Texas,3-May-15,29.7804724,-95.3863425
University Avenue,Bronx,New York,3-May-15,40.84911597,-73.85295233
2801 Germantown Street,Dayton,Ohio,3-May-15,39.7387998,-84.2402221
Friendship Trail,Menasha,Wisconsin,3-May-15,44.21353106,-88.42738001
3700 block of 37th Street,Milwaukee,Wisconsin,1-May-15,43.0641114,-87.96721631
1365 Flatbush Ave,Brooklyn,New York,27-Apr-15,40.63439283,-73.95026864
State Route 85,Gila Bend,Arizona,27-Apr-15,32.98338575,-112.7345936
Wood Street,Trenton,New Jersey,25-Apr-15,40.223729,-74.76399433
24 Hinchey Rd,Gates,New York,25-Apr-15,43.1569298,-77.69300858
420 Gilmer St.,Killeen,Texas,21-Apr-15,31.1241111,-97.7367645
200 block of West Hill Street,Richmond,Virginia,19-Apr-15,37.64882817,-78.70157159
1800 block of Gibbs Court,Montgomery,Alabama,18-Apr-15,32.34724369,-86.2672602
321 Pine St,Williamsport,Pennsylvania,18-Apr-15,41.2406692,-77.0034136
Martin Luther King Drive,Lumberton,North Carolina,18-Apr-15,34.63068701,-79.01818214
Bost Street,Charlotte,North Carolina,18-Apr-15,35.20787221,-80.83007545
Rosa Parks Blvd and Godwin Ave,Paterson,New Jersey,18-Apr-15,40.9146875,-74.16241812
4300 block of East Anderson Drive,Phoenix,Arizona,16-Apr-15,33.5721625,-112.0879662
20 Copeland Street,Rome,Georgia,7-Apr-15,34.26764516,-85.18809465
Dinwiddie Street,Pittsburgh,Pennsylvania,5-Apr-15,40.43946574,-79.97631573
40th and Grand Street,Louisville,Kentucky,5-Apr-15,38.1780769,-85.6667077
5000 block of Wildflower Court,Indianapolis,Indiana,5-Apr-15,39.77710046,-86.14634767
1000 block of Blossom Lane,Benton Harbor,Michigan,5-Apr-15,42.11604289,-86.44841017
300 block of Henry Butts Drive,Daytona Beach,Florida,3-Apr-15,29.19768392,-81.08995843
1900 block of West Lanvale Street,Baltimore,Maryland,2-Apr-15,39.23545018,-76.63677351
5312 Thomas Drive,Panama City Beach,Florida,27-Mar-15,28.14683286,-83.20422736
3100 block of Redwood,Amarillo,Texas,26-Mar-15,35.20038355,-101.8282925
3100 block of North Harding Street,Indianapolis,Indiana,24-Mar-15,39.77710046,-86.14634767
900 block of Carpenter Street,Clarksville,Tennessee,23-Mar-15,36.56968315,-87.34323717
10140 Lomas NE,Albuquerque,New Mexico,22-Mar-15,35.1055517,-106.6473884
1802 Seventh Ave,Tampa,Florida,21-Mar-15,27.96800236,-82.4763859
1500 block of Reynolds Street,Lancaster,Texas,20-Mar-15,31.53834907,-99.6497468
200 block of Clinton Place,Newark,New Jersey,18-Mar-15,40.72417185,-74.17242155
1504 West Main Street,Mesa,Arizona,18-Mar-15,33.4150455,-111.8633583
748 N Madison St,Stockton,California,17-Mar-15,37.97672722,-121.3121116
2700 block of West Alondra Boulevard,Compton,California,15-Mar-15,33.89316026,-118.2256332
2900 block of Delmar Lane,Atlanta,Georgia,14-Mar-15,33.76265247,-84.4231419
84000 block of Bagdad Avenue,Coachella,California,14-Mar-15,33.69102002,-116.145093
1097 South First St.,Brookhaven,Mississippi,13-Mar-15,31.58035526,-90.44323571
3023 Victory Drive,Columbus,Georgia,10-Mar-15,32.5099615,-84.87704106
200 block of West 105th,Chicago,Illinois,9-Mar-15,41.83861021,-87.68661087
Wells Highway,Seneca,South Carolina,8-Mar-15,34.68035607,-82.96207895
3140 Olive St,Saint Louis,Missouri,7-Mar-15,38.30885939,-92.50820581
190 block of West Club Center Drive,San Bernardino,California,4-Mar-15,34.13970281,-117.2942335
4900 block of Steyr Street,Orange County,Florida,1-Mar-15,28.14683286,-83.20422736
9855 Chalmers St,Detroit,Michigan,1-Mar-15,42.38402073,-83.10165683
4300 block of Welbourne Road,Baltimore,Maryland,28-Feb-15,39.30097988,-76.61064805
18279 Highway H,Tyrone,Missouri,26-Feb-15,38.30885939,-92.50820581
5022 Mallow St,Houston,Texas,25-Feb-15,29.65943987,-95.34769874
Sheridan Road,Daytona Beach,Florida,23-Feb-15,29.19768392,-81.08995843
1706 Godman St.,Killeen,Texas,22-Feb-15,31.120662,-97.6827687
281 Lower Pond Court,Clarkesville,Georgia,22-Feb-15,34.6309815,-83.5977582
4224 Dorchester Road,Charleston,South Carolina,22-Feb-15,32.8541985,-80.0058338
1417 R Street,Sacramento,California,20-Feb-15,38.56663215,-121.4682998
7900 Scott Hamilton,Little Rock,Arkansas,17-Feb-15,34.6779332,-92.3207959
200 block of W. 14th Street,Long Beach,California,15-Feb-15,33.80574739,-118.1612131
9552 Adler Street,New Port Richey,Florida,9-Feb-15,28.24656621,-82.71696025
251 Dupree Rd,Friendship,Tennessee,8-Feb-15,35.90737763,-89.24079491
3640 Willow Tree Circle,Douglasville,Georgia,7-Feb-15,33.73821118,-84.70627006
1219 N. Sheridan Road,Tulsa,Oklahoma,6-Feb-15,36.13544967,-95.91306967
Harvard Road,Beachwood (Warrensville Heights),Ohio,5-Feb-15,40.42858964,-82.70242359
1217 West Fayette Street,Syracuse,New York,1-Feb-15,42.6687355,-75.44096178
3345 Broadway,New York (Manhattan),New York,1-Feb-15,42.6687355,-75.44096178
100 block of Woodstream Trail,Lagrange,Georgia,31-Jan-15,33.02943338,-85.03610052
1600 block of Panola Road,Dekalb County,Georgia,28-Jan-15,32.6176611,-83.39219224
1500 block of E. 9th Street,Stockton,California,26-Jan-15,37.97672722,-121.3121116
231-11 148th Avenue,Arverne (Queens),New York,24-Jan-15,42.6687355,-75.44096178
3402 Parker St,Omaha,Nebraska,24-Jan-15,41.2766659,-95.9632482
954 Parker Street,Boston,Massachusetts,23-Jan-15,42.32421,-71.10047
321 Lansinger Lane,Clarksville,Tennessee,20-Jan-15,36.56968315,-87.34323717
1000 block of Gibbs St.,San Antonio,Texas,19-Jan-15,31.53834907,-99.6497468
4100 block of Portsmouth Boulevard,Portsmouth,Virginia,13-Jan-15,36.85892862,-76.35663454
700 block of Oakley Avenue,Rockford,Illinois,13-Jan-15,42.26315005,-89.06121191
1900 block of Gumberry Road,Hope Mills,North Carolina,11-Jan-15,34.96859881,-78.95332579
7665 Chase Road,Lakeland,Florida,11-Jan-15,28.1393481,-81.9818733
3840 Monterey Hwy,San Jose,California,11-Jan-15,37.24004903,-119.5032355
4859 E Harry Street,Wichita,Kansas,10-Jan-15,37.6906938,-97.3426776
Laguna and Page streets,San Francisco,California,9-Jan-15,37.75971499,-122.6939756
104 Harrishof Street,Boston,Massachusetts,8-Jan-15,42.31668,-71.08869
773 West Main Street,Chattanooga,Tennessee,7-Jan-15,35.06804894,-85.24908097
1300 block of NW 62nd Street,Miami,Florida,6-Jan-15,25.77525637,-80.20885121
3634 Shenandoah Ave NW,Roanoke,Virginia,4-Jan-15,37.28100328,-79.99849222
2000 block of Ben Hur St.,Dallas,Texas,4-Jan-15,32.79464486,-96.76633721
500 block of W. 54th Street,Savannah,Georgia,2-Jan-15,32.02831938,-81.17815866
Interstate 240 and Poplar Avenue,Memphis,Tennessee,1-Jan-15,35.10520292,-89.97735447
27 Briarwood Ct,Lenox (El Dorado),Georgia,31-Dec-16,32.6176611,-83.39219224
3704 Fannin Street,Houston,Texas,31-Dec-16,29.7804724,-95.3863425
3230 Possum Run Rd,Mansfield,Ohio,30-Dec-16,40.76557206,-82.52756264
95 S Turnpike Road,Wallingford,Connecticut,30-Dec-16,41.4486685,-72.846189
2914 10th Street,Columbus,Georgia,28-Dec-16,32.5099615,-84.87704106
858 US-231,Ozark,Alabama,25-Dec-16,31.44861044,-85.64654368
8600 block of South Maryland Avenue,Chicago,Illinois,25-Dec-16,41.83861021,-87.68661087
4 North 3rd Avenue,Mount Vernon,New York,25-Dec-16,40.91360085,-73.82910018
490 K Ford Rd,Madison,North Carolina,24-Dec-16,36.38682806,-79.97493395
2241 Banks Lane East,Wilson,North Carolina,24-Dec-16,35.7345877,-77.9314952
3813 Richard Arrington Boulevard North,Birmingham,Alabama,23-Dec-16,32.63501642,-86.80937931
4900 block of West Hubbard,Chicago,Illinois,23-Dec-16,41.83861021,-87.68661087
4115 N. Tryon Street,Charlotte,North Carolina,17-Dec-16,35.20787221,-80.83007545
100 block of West 105th Street,Chicago (Roseland),Illinois,17-Dec-16,40.10756121,-89.1611563
4300 block of South Rockwell,Chicago,Illinois,16-Dec-16,41.83861021,-87.68661087
13th and South Kedzie,Chicago,Illinois,16-Dec-16,41.83861021,-87.68661087
4800 block of Myrtle Avenue,Sacramento,California,12-Dec-16,38.56663215,-121.4682998
192 Knickerbocker Ave,Brooklyn,New York,11-Dec-16,40.63439283,-73.95026864
4305 N Pine Hills Rd,Orlando (Pine Hills),Florida,11-Dec-16,28.5959774,-81.450956
3916 South Hanover Street,Baltimore,Maryland,11-Dec-16,39.2349142,-76.6116844
1200 block of East Highland Ave,Rocky Mount,North Carolina,11-Dec-16,35.3662481,-79.42939386
15300 block of Market,Channelview,Texas,9-Dec-16,29.79136675,-95.11502412
842 Fresno Street,Fresno,California,9-Dec-16,36.72772265,-119.8034045
1532 Stagecoach Lane,Albuquerque,New Mexico,5-Dec-16,35.1055517,-106.6473884
91st Street and Western Avenue,Los Angeles,California,3-Dec-16,34.10482229,-118.4110473
3 1st Ave,Bloomfield,New Jersey,2-Dec-16,40.80982702,-74.18694884
N/A,Clearlake Oaks,California,1-Dec-16,39.02190323,-122.6591908
2901 Garrison Blvd,Baltimore,Maryland,30-Nov-16,39.3207155,-76.6770759
1840 West Palma Vista Drive,Mission (Palmview),Texas,28-Nov-16,31.53834907,-99.6497468
1067 McDonald Avenue,Wilmington,California,28-Nov-16,37.24004903,-119.5032355
300 block of West 2nd Street,San Pedro,California,28-Nov-16,37.24004903,-119.5032355
100 block of Bourbon Street,New Orleans,Louisiana,27-Nov-16,30.06880013,-89.9308814
Gregory and Prospect,Kansas City,Missouri,27-Nov-16,38.30885939,-92.50820581
8800 block of S Exchange Ave,Chicago,Illinois,26-Nov-16,41.83861021,-87.68661087
Magnolia Street and Felicity Street,New Orleans,Louisiana,25-Nov-16,30.06880013,-89.9308814
4501 W Broadway,Louisville,Kentucky,24-Nov-16,38.2514994,-85.8275634
77 Central Ave,Albany,New York,24-Nov-16,42.66639697,-73.79868263
928 Cross Road,Olive Branch,Mississippi,23-Nov-16,34.8474141,-89.8654396
1068 Harlem Academy Avenue,Clewiston,Florida,22-Nov-16,26.75320047,-80.93990713
5000 block of West Wabansia,Chicago,Illinois,18-Nov-16,41.83861021,-87.68661087
160 Longfellow,Dyersburg,Tennessee,17-Nov-16,36.04595613,-89.37819637
5105 Cleveland Rd,Jacksonville,Florida,13-Nov-16,30.3649245,-81.7060216
8000 Midcrown,San Antonio,Texas,13-Nov-16,31.53834907,-99.6497468
