Address,CityOrCounty,State,Month,Day ,Year,Latitude,Longitude,StateAbr
5600 block of Blakemore Street,Philadelphia,Pennsylvania,11,15,2015,40.00763806,-75.1339627,PA
800 block of County Road 2217,Tennessee Colony,Texas,11,15,2015,31.53834907,-99.6497468,TX
1159 Main St,Johnstown,Pennsylvania,11,14,2015,40.32547358,-78.91894525,PA
1300 block of South Shirley Oaks Drive,Jacksonville,Florida,11,13,2015,30.27926997,-81.37452585,FL
400 block of North Beville Ave,Indianapolis,Indiana,11,9,2015,39.77710046,-86.14634767,IN
4397 NW 6th Drive,Des Moines,Iowa,11,8,2015,41.6402178,-93.6261485,IA
13859 8 Mile Road,Warren,Michigan,11,8,2015,42.49280464,-83.02702386,MI
Bayaud and Bannock,Denver,Colorado,11,7,2015,39.76144202,-104.8767568,CO
1000 block of Feliz Drive,Bakersfield,California,11,6,2015,35.35014666,-119.0312755,CA
Ella Street and Kings Road,Jacksonville,Florida,11,3,2015,30.3369138,-81.66090703,FL
2217 Refuge Road,Pendleton,South Carolina,11,2,2015,34.6474007,-82.7484817,SC
400 block of Morgan Street,Houma,Louisiana,10,28,2015,29.57986996,-90.70562347,LA
1700 block of Southcrest Drive,Fort Worth,Texas,10,27,2015,32.7795423,-97.3463354,TX
711 E Virginia St,Evansville,Indiana,10,26,2015,37.98671582,-87.53827073,IN
2339 Stricklands Crossroads Road,Four Oaks,North Carolina,10,25,2015,35.45036974,-78.41724109,NC
Seventh Street and Broadway,Phoenix,Arizona,10,25,2015,33.5721625,-112.0879662,AZ
4300 block of Wheeler Road SE,Washington,District of Columbia,10,25,2015,38.90477236,-77.01628888,DC
682 Dixie Ave.,Bamberg,South Carolina,10,24,2015,33.29959281,-81.03222935,SC
3500 John A. Merritt Blvd,Nashville,Tennessee,10,22,2015,36.1683326,-86.828524,TN
300 Campbell Avenue,Calumet City,Illinois,10,19,2015,41.61332017,-87.55057632,IL
2600 block of Caffin Avenue,New Orleans,Louisiana,10,18,2015,30.06880013,-89.9308814,LA
2224 First St,Fort Myers,Florida,10,17,2015,26.6439561,-81.8697314,FL
160 Easy Shopping Place,Elkhart,Indiana,10,17,2015,41.69184954,-85.96623839,IN
4731 Glenwood Road,Decatur,Georgia,10,12,2015,33.77121517,-84.29675277,GA
6135 Mount Moriah Road,Memphis,Tennessee,10,10,2015,35.0702049,-89.8593567,TN
1900 block of West Boulevard,Charlotte,North Carolina,10,10,2015,35.20787221,-80.83007545,NC
2405 N Flora,Peoria,Illinois,10,10,2015,40.75167856,-89.61567418,IL
216 E Mountain View Drive,Flagstaff,Arizona,10,9,2015,35.1888369,-111.6498032,AZ
300 block of North Payson Street,Baltimore,Maryland,10,6,2015,39.23545018,-76.63677351,MD
5400 Reisterstown Road,Baltimore,Maryland,10,2,2015,39.3460233,-76.6883337,MD
1140 Umpqua College Rd,Roseburg,Oregon,10,1,2015,43.26473233,-123.3034787,OR
1800 block of Hewitt Avenue,Cincinnati (Evanston),Ohio,9,28,2015,40.42858964,-82.70242359,OH
300 block of West 42nd Street,Chicago,Illinois,9,28,2015,41.83861021,-87.68661087,IL
5300 block of South Aberdeen Street,Chicago,Illinois,9,28,2015,41.83861021,-87.68661087,IL
1921 Oakridge,Dayton,Ohio,9,28,2015,39.7583862,-84.2358021,OH
1140 Hill Haven Road,Greenville,Georgia,9,27,2015,33.0322358,-84.71622391,GA
5200 block of South Justine,Chicago,Illinois,9,27,2015,41.83861021,-87.68661087,IL
1700 E. 18th St.,Kansas City,Missouri,9,27,2015,38.30885939,-92.50820581,MO
1300 block of May Street,Danville,Illinois,9,25,2015,40.14209413,-87.61195,IL
5100 block of South Morgan Street,Chicago,Illinois,9,24,2015,41.83861021,-87.68661087,IL
2900 block of Peach Street,Shreveport,Louisiana,9,23,2015,30.8956711,-91.67752985,LA
Dale Street and Veronica S. Shoemaker Boulevard,Fort Myers,Florida,9,23,2015,26.61950094,-81.83031527,FL
1300 block of Reddington Lane,Norcross,Georgia,9,23,2015,33.94099007,-84.20981416,GA
900 block of Pratt Street,Philadelphia,Pennsylvania,9,20,2015,40.00763806,-75.1339627,PA
5700 block of South LaSalle,Chicago,Illinois,9,20,2015,41.83861021,-87.68661087,IL
Pine and Yale,Tulsa,Oklahoma,9,20,2015,36.13544967,-95.91306967,OK
3900 block of Graceland Avenue,Indianapolis,Indiana,9,19,2015,39.77710046,-86.14634767,IN
36705 379th Street,Geddes,South Dakota,9,17,2015,43.25329266,-98.69784861,SD
500 block of W. Broadwell Street,Albion,Michigan,9,17,2015,42.24778964,-84.75724624,MI
Irvine Turner Boulevard and West Kinney Street,Newark,New Jersey,9,15,2015,40.72417185,-74.17242155,NJ
1910 South Pine Avenue,Ocala,Florida,9,13,2015,29.1681687,-82.1388776,FL
1500 block of Clanton Street,Shreveport,Louisiana,9,12,2015,30.8956711,-91.67752985,LA
36 Woodward Street,Rochester,New York,9,12,2015,43.1644384,-77.5993455,NY
1st Ave. and N. 5th St.,Minneapolis,Minnesota,9,12,2015,44.96354079,-93.26783453,MN
1200 block of 22nd Ave. N.,Minneapolis,Minnesota,9,12,2015,44.96354079,-93.26783453,MN
1000 North Carolina Music Factory Blvd.,Charlotte,North Carolina,9,11,2015,35.20787221,-80.83007545,NC
Channel Drive,Excelsior (Greenwood),Minnesota,9,10,2015,46.36813604,-93.71317296,MN
N/A,Berlin,Georgia,9,8,2015,31.0678495,-83.62387996,GA
56th and Green,Chicago,Illinois,9,8,2015,41.83861021,-87.68661087,IL
9300 block of Sunrise,Gary,Indiana,9,7,2015,41.59560282,-87.3452059,IN
1909 Blake Street,Denver,Colorado,9,7,2015,39.75370287,-104.9955519,CO
6800 block of Fieldvale Place,Charlotte,North Carolina,9,5,2015,35.20787221,-80.83007545,NC
300 block of Pearl Street,Daytona Beach,Florida,9,5,2015,29.19768392,-81.08995843,FL
5000 block of Hollywood Boulevard,Las Vegas,Nevada,9,5,2015,36.2277116,-115.2640448,NV
1509 Ashley Street,Columbia,Missouri,9,5,2015,38.9479389,-92.3260968,MO
3300 block of Sobota Circle,Memphis,Tennessee,8,30,2015,35.10520292,-89.97735447,TN
618 Henson Road,Bristol,Tennessee,8,29,2015,36.55604316,-82.21430545,TN
638 ENE Loop 323,Tyler,Texas,8,29,2015,32.3154021,-95.30500938,TX
589 Flatbush Avenue,Brooklyn,New York,8,28,2015,40.63439283,-73.95026864,NY
928 Blanco Circle,Salinas,California,8,27,2015,36.68891743,-121.631812,CA
3025 W. Van Buren Ave,Chicago,Illinois,8,26,2015,41.83861021,-87.68661087,IL
5000 block of Drew Avenue North,Minneapolis (Brooklyn Center),Minnesota,8,26,2015,46.36813604,-93.71317296,MN
800 block of 19th Street,West Palm Beach,Florida,8,26,2015,26.74681035,-80.13150971,FL
Fern Street and Olive Street,New Orleans,Louisiana,8,25,2015,30.06880013,-89.9308814,LA
1100 block of Kansas Avenue,Modesto,California,8,23,2015,37.66031058,-120.989212,CA
State Road 408,Orlando (Pine Hills),Florida,8,22,2015,28.14683286,-83.20422736,FL
302 East Reed Street,Roswell,New Mexico,8,22,2015,33.37291265,-104.5293172,NM
2700 block of Hinson Drive,Durham,North Carolina,8,21,2015,35.9809638,-78.9056471,NC
Mathis and Prentice,Cincinnati,Ohio,8,21,2015,39.14291321,-84.50366914,OH
FM 2360,Grulla (La Grulla),Texas,8,20,2015,31.53834907,-99.6497468,TX
500 Genesee St,Rochester,New York,8,19,2015,42.6687355,-75.44096178,NY
3651 Sycamore School Rd,Fort Worth,Texas,8,16,2015,32.7795423,-97.3463354,TX
5400 block of West Division Street,Chicago,Illinois,8,16,2015,41.83861021,-87.68661087,IL
Highway 38N,Bennettsville,South Carolina,8,16,2015,34.63040898,-79.68741982,SC
West Prospect Avenue,Pittsburgh,Pennsylvania,8,15,2015,40.43946574,-79.97631573,PA
57th Street and South Normandie Avenue,Los Angeles,California,8,15,2015,34.10482229,-118.4110473,CA
2868 Bamberg Road,Orangeburg,South Carolina,8,15,2015,33.4788074,-80.9089569,SC
1700 block of East 10th Street,Long Beach,California,8,10,2015,33.80574739,-118.1612131,CA
Poplar Street,Forest,Mississippi,8,9,2015,32.35952155,-89.47611934,MS
15200 block of Hazelridge,Detroit,Michigan,8,9,2015,42.38402073,-83.10165683,MI
40th Street and Pennsylvania Avenue,Kansas City,Missouri,8,9,2015,38.30885939,-92.50820581,MO
4908 Greenwood Drive,Gastonia,North Carolina,8,8,2015,35.19240603,-81.23976246,NC
833 Anderson Street,Blytheville,Arkansas,8,8,2015,35.9193718,-89.8966749,AR
2211 Falling Oaks,Houston,Texas,8,8,2015,29.91980399,-95.4518521,TX
3182 Airport Road,Barre (Berlin),Vermont,8,7,2015,44.02009856,-72.61472563,VT
1505 Garden Plaza,Columbia,South Carolina,8,6,2015,34.0297833,-80.8965664,SC
2500 block of Semple,Saint Louis,Missouri,8,4,2015,38.30885939,-92.50820581,MO
98 Dwight Street,Brooklyn,New York,8,3,2015,40.63439283,-73.95026864,NY
Stanley Avenue and Crescent Street,Brooklyn,New York,8,2,2015,40.63439283,-73.95026864,NY
2700 block of Garrison Avenue,Baltimore,Maryland,8,2,2015,39.30097988,-76.61064805,MD
4800 block of West Kamerling Avenue,Chicago,Illinois,8,2,2015,41.83861021,-87.68661087,IL
Barnard Street,Savannah,Georgia,8,2,2015,32.02831938,-81.17815866,GA
6700 block of South Winchester Avenue,Chicago,Illinois,8,2,2015,41.83861021,-87.68661087,IL
5801 Shenandoah Way,Orlando,Florida,8,1,2015,28.5323938,-81.3081236,FL
Brushton Avenue,Pittsburgh,Pennsylvania,7,30,2015,40.43946574,-79.97631573,PA
900 block of Kent Street,Rockford,Illinois,7,27,2015,42.26315005,-89.06121191,IL
Thompson and Colorado,Kansas City,Missouri,7,26,2015,38.30885939,-92.50820581,MO
Piety and Treasure street,New Orleans,Louisiana,7,26,2015,30.06880013,-89.9308814,LA
500 block of N. 7th Ave,Hopewell,Virginia,7,25,2015,37.29136494,-77.29854198,VA
200 block of W 29th St,Erie,Pennsylvania,7,24,2015,42.1166824,-80.07314347,PA
3141 Johnson Street,Lafayette,Louisiana,7,23,2015,30.2115732,-92.0313942,LA
5500 block of Old Atlanta Road,Suwanee,Georgia,7,22,2015,34.0505716,-84.06872212,GA
Northwest 25th Avenue and Miami Gardens Drive,Miami Gardens,Florida,7,21,2015,25.94326339,-80.24253322,FL
E. 153rd St. and the Grand Concourse,Bronx,New York,7,20,2015,40.84911597,-73.85295233,NY
100 block of North Capitol Street,Suffolk,Virginia,7,19,2015,36.70178203,-76.63409891,VA
2928 W Kentucky St,Louisville,Kentucky,7,19,2015,38.2436806,-85.802412,KY
Interstate 64 and Raliegh Street,Rocky Mount,North Carolina,7,19,2015,35.3662481,-79.42939386,NC
200 block of South Bancroft Street,San Diego,California,7,18,2015,32.81689046,-117.1333353,CA
Ojai-Santa Paula Street,Santa Paula,California,7,18,2015,34.35208913,-119.0697213,CA
1550 Weston Ct NE,Salem,Oregon,7,18,2015,44.92329071,-123.0249508,OR
300 block of Brice Street,Baton Rouge,Louisiana,7,18,2015,30.4507665,-91.12584647,LA
4400 block of W. Maypole,Chicago,Illinois,7,17,2015,41.83861021,-87.68661087,IL
3100 block of Sunshine Avenue,Cincinnati (Westwood),Ohio,7,17,2015,40.42858964,-82.70242359,OH
4051 Amnicola Highway,Chattanooga,Tennessee,7,16,2015,35.0950826,-85.2534227,TN
Singleton and Hampton,Dallas,Texas,7,16,2015,32.79464486,-96.76633721,TX
500 block of Center Hill Avenue,Atlanta,Georgia,7,15,2015,33.76265247,-84.4231419,GA
3500 block of West Garrison Boulevard,Baltimore,Maryland,7,15,2015,39.30097988,-76.61064805,MD
700 block of Thornhill,Cleveland,Ohio,7,15,2015,41.47926574,-81.68021483,OH
9200 block of Memorial,Detroit,Michigan,7,15,2015,41.93132091,-83.3292499,MI
7050 Old State Road,Holly Hill,South Carolina,7,15,2015,33.85416558,-80.90959195,SC
1100 block of Riverview,Saint Louis,Missouri,7,14,2015,38.30885939,-92.50820581,MO
11959 162nd Street,Norwalk,California,7,13,2015,33.90688083,-118.0829152,CA
400 block of McCloud Avenue,Stockton,California,7,13,2015,37.97672722,-121.3121116,CA
116 Lathrop Avenue,River Forest,Illinois,7,12,2015,41.8818791,-87.8148992,IL
Sip and Van Wagenen avenues,Jersey City,New Jersey,7,12,2015,40.12272985,-74.70346139,NJ
East 162nd Street and Miles Avenue,Cleveland,Ohio,7,7,2015,41.47926574,-81.68021483,OH
900 block of West Fayette Street,Baltimore,Maryland,7,7,2015,39.23545018,-76.63677351,MD
3500 block of Hearne Avenue,Shreveport,Louisiana,7,5,2015,30.8956711,-91.67752985,LA
1400 block of McCulloch Street,Fort Wayne,Indiana,7,5,2015,41.08849204,-85.14358989,IN
200 block of S. Clinton St,East Orange,New Jersey,7,5,2015,40.76505914,-74.21186062,NJ
2600 Douglas Place SE,Washington,District of Columbia,7,4,2015,38.8566268,-76.988052,DC
2500 block of West Broadway,Louisville,Kentucky,7,4,2015,38.1780769,-85.6667077,KY
Dewey Avenue,Pittsfield,Massachusetts,7,4,2015,42.45170258,-73.26051754,MA
Bellevue and Rich Street,Syracuse,New York,7,4,2015,42.6687355,-75.44096178,NY
1100 block of West Avenue,San Antonio,Texas,7,4,2015,31.53834907,-99.6497468,TX
Lynn and Michigan,Indianapolis,Indiana,7,2,2015,39.77710046,-86.14634767,IN
13450 NW 30th Ave,Opa Locka,Florida,6,29,2015,28.14683286,-83.20422736,FL
Gratiot and Loretto,Detroit,Michigan,6,28,2015,41.93132091,-83.3292499,MI
N/A,Venice,Illinois,6,28,2015,38.67196255,-90.16885895,IL
100 block of East St,Harrington,Delaware,6,28,2015,38.92443369,-75.57056872,DE
Weir Street,Taunton,Massachusetts,6,27,2015,41.90358547,-71.09429142,MA
Stringham Court,Detroit,Michigan,6,27,2015,42.38402073,-83.10165683,MI
2110 Madison Ave,New York (Manhattan),New York,6,24,2015,42.6687355,-75.44096178,NY
700 block of East Hilton Street,Philadelphia,Pennsylvania,6,22,2015,40.00763806,-75.1339627,PA
Rebecca and East Swissvale Avenue,Pittsburgh (Wilkinsburg),Pennsylvania,6,21,2015,40.99568088,-77.78712223,PA
726 Georgetown St,Lexington,Kentucky,6,21,2015,38.0423254,-84.45872596,KY
Dexter and Webb,Detroit,Michigan,6,20,2015,42.38402073,-83.10165683,MI
N/A,Morven,North Carolina,6,20,2015,34.8643106,-80.00001344,NC
4100 block of Ogden Street,Philadelphia,Pennsylvania,6,20,2015,40.00763806,-75.1339627,PA
80 River Street,Woonsocket,Rhode Island,6,19,2015,42.0003818,-71.5177178,RI
110 Calhoun Street,Charleston,South Carolina,6,17,2015,32.7874404,-79.9330345,SC
600 block of Northwest 177th Street,Miami Gardens,Florida,6,16,2015,25.94326339,-80.24253322,FL
673 Flatbush Avenue,Brooklyn,New York,6,15,2015,40.63439283,-73.95026864,NY
2800 block of Mitchell Street,Camden,New Jersey,6,14,2015,39.936191,-75.10729619,NJ
1800 block of North Kingston,Tulsa,Oklahoma,6,14,2015,36.13544967,-95.91306967,OK
1400 block of North Market Street,Saint Louis,Missouri,6,14,2015,38.30885939,-92.50820581,MO
600 block of Highway 279,Fayetteville,Georgia,6,13,2015,33.44825966,-84.46125164,GA
451 North Flynn Street,Milledgeville,Georgia,6,13,2015,33.0883377,-83.2411491,GA
2409 Creston Avenue,Bronx,New York,6,13,2015,40.84911597,-73.85295233,NY
500 block of Se 69th St,Oklahoma City,Oklahoma,6,13,2015,35.46760197,-97.51913834,OK
1623 E. Hudson Street,Columbus,Ohio,6,13,2015,40.01337313,-82.96638132,OH
24th Avenue and 36th Street,Allapattah,Florida,6,12,2015,28.14683286,-83.20422736,FL
468 Trumbull Avenue,Bridgeport,Connecticut,6,11,2015,41.18705826,-73.19553341,CT
3400 block of Burkett,Houston,Texas,6,11,2015,29.7804724,-95.3863425,TX
South Vermont Avenue and West 88th Street,Los Angeles,California,6,10,2015,34.10482229,-118.4110473,CA
North Market Street and North Spring Avenue,Saint Louis,Missouri,6,9,2015,38.30885939,-92.50820581,MO
Boulder Creek Road,Deer Lodge,Montana,6,7,2015,46.39761789,-112.7329334,MT
100 block of Warren Avenue,Buffalo,New York,6,6,2015,42.89225205,-78.85941404,NY
100 block of North Lorel Avenue,Chicago,Illinois,6,6,2015,41.83861021,-87.68661087,IL
900 block of West 3rd St,Davenport,Iowa,6,5,2015,41.55564824,-90.60545667,IA
2100 block of Governor Nicholls Street,New Orleans,Louisiana,6,5,2015,30.06880013,-89.9308814,LA
Davidson Street,Wyandanch,New York,6,3,2015,40.74674088,-73.37693842,NY
16209 block of Laverne Avenue,Cleveland,Ohio,5,31,2015,41.47926574,-81.68021483,OH
9222 Ardwick Ardmore Road,Springdale,Maryland,5,31,2015,38.93833208,-76.84227076,MD
849 Chapel Street,New Haven,Connecticut,5,31,2015,41.3058756,-72.9251339,CT
4669 Bell Road SE,Conyers,Georgia,5,31,2015,33.66436216,-83.99681243,GA
4200 block of Market Street,San Diego,California,5,30,2015,32.81689046,-117.1333353,CA
84th and Q,Omaha,Nebraska,5,28,2015,41.26588379,-96.05382374,NE
6200 block of South Honore Street,Chicago,Illinois,5,28,2015,41.83861021,-87.68661087,IL
2700 block of West 3rd Street,Chester,Pennsylvania,5,28,2015,39.84562785,-75.37183417,PA
6700 block of Tara Lane,New Orleans,Louisiana,5,26,2015,30.06880013,-89.9308814,LA
1816 N Water,Decatur,Illinois,5,25,2015,39.85565673,-88.93382251,IL
1002 Main St,Brockton,Massachusetts,5,24,2015,42.08207137,-71.02416563,MA
W. 12th Street and Hammerberg Road.,Flint,Michigan,5,24,2015,43.02363394,-83.69206403,MI
Smiley Court,Montgomery,Alabama,5,24,2015,32.34724369,-86.2672602,AL
2700 block of Dayton,Saint Louis,Missouri,5,24,2015,38.30885939,-92.50820581,MO
2400 block of South 9th Street,Fresno,California,5,23,2015,36.7826736,-119.794492,CA
800 block of Linwood Avenue,Baltimore,Maryland,5,20,2015,39.30097988,-76.61064805,MD
8000 block of School Way,Kinloch,Missouri,5,18,2015,38.73840365,-90.32495329,MO
Northwest 75th Street and Northwest 16th Avenue,Miami,Florida,5,18,2015,25.77525637,-80.20885121,FL
4671 S Jack Kultgen Fwy,Waco,Texas,5,17,2015,31.55913715,-97.18666982,TX
28th Street and Auer Avenue,Milwaukee,Wisconsin,5,16,2015,43.0641114,-87.96721631,WI
188 Lewis Street,Rochester,New York,5,16,2015,43.1642834,-77.5928747,NY
1700 block of North Broadway,Baltimore,Maryland,5,16,2015,39.30097988,-76.61064805,MD
Pard Road,Capitol Heights,Maryland,5,12,2015,38.87695016,-76.90745885,MD
800 block of West Calle Medina Road,Tucson,Arizona,5,12,2015,32.15690153,-110.8775061,AZ
3600 block of Bosworth Rd,Cleveland,Ohio,5,10,2015,41.47926574,-81.68021483,OH
Bostwick Avenue,Jersey City,New Jersey,5,10,2015,40.12272985,-74.70346139,NJ
19th Avenue and South 16th Street,Newark,New Jersey,5,10,2015,40.72417185,-74.17242155,NJ
2300 block of Baltimore Avenue,Cincinnati,Ohio,5,7,2015,39.14291321,-84.50366914,OH
16000 block of Cathedral Street,Detroit,Michigan,5,7,2015,41.93132091,-83.3292499,MI
100 block of Roosevelt Avenue,Buffalo,New York,5,4,2015,42.89225205,-78.85941404,NY
1600 block of South William Street,South Bend,Indiana,5,3,2015,41.67725366,-86.26911678,IN
San Jacinto at Elgin,Houston,Texas,5,3,2015,29.7804724,-95.3863425,TX
University Avenue,Bronx,New York,5,3,2015,40.84911597,-73.85295233,NY
2801 Germantown Street,Dayton,Ohio,5,3,2015,39.7387998,-84.2402221,OH
Friendship Trail,Menasha,Wisconsin,5,3,2015,44.21353106,-88.42738001,WI
3700 block of 37th Street,Milwaukee,Wisconsin,5,1,2015,43.0641114,-87.96721631,WI
1365 Flatbush Ave,Brooklyn,New York,4,27,2015,40.63439283,-73.95026864,NY
State Route 85,Gila Bend,Arizona,4,27,2015,32.98338575,-112.7345936,AZ
Wood Street,Trenton,New Jersey,4,25,2015,40.223729,-74.76399433,NJ
24 Hinchey Rd,Gates,New York,4,25,2015,43.1569298,-77.69300858,NY
420 Gilmer St.,Killeen,Texas,4,21,2015,31.1241111,-97.7367645,TX
200 block of West Hill Street,Richmond,Virginia,4,19,2015,37.64882817,-78.70157159,VA
1800 block of Gibbs Court,Montgomery,Alabama,4,18,2015,32.34724369,-86.2672602,AL
321 Pine St,Williamsport,Pennsylvania,4,18,2015,41.2406692,-77.0034136,PA
Martin Luther King Drive,Lumberton,North Carolina,4,18,2015,34.63068701,-79.01818214,NC
Bost Street,Charlotte,North Carolina,4,18,2015,35.20787221,-80.83007545,NC
Rosa Parks Blvd and Godwin Ave,Paterson,New Jersey,4,18,2015,40.9146875,-74.16241812,NJ
4300 block of East Anderson Drive,Phoenix,Arizona,4,16,2015,33.5721625,-112.0879662,AZ
20 Copeland Street,Rome,Georgia,4,7,2015,34.26764516,-85.18809465,GA
Dinwiddie Street,Pittsburgh,Pennsylvania,4,5,2015,40.43946574,-79.97631573,PA
40th and Grand Street,Louisville,Kentucky,4,5,2015,38.1780769,-85.6667077,KY
5000 block of Wildflower Court,Indianapolis,Indiana,4,5,2015,39.77710046,-86.14634767,IN
1000 block of Blossom Lane,Benton Harbor,Michigan,4,5,2015,42.11604289,-86.44841017,MI
300 block of Henry Butts Drive,Daytona Beach,Florida,4,3,2015,29.19768392,-81.08995843,FL
1900 block of West Lanvale Street,Baltimore,Maryland,4,2,2015,39.23545018,-76.63677351,MD
5312 Thomas Drive,Panama City Beach,Florida,3,27,2015,28.14683286,-83.20422736,FL
3100 block of Redwood,Amarillo,Texas,3,26,2015,35.20038355,-101.8282925,TX
3100 block of North Harding Street,Indianapolis,Indiana,3,24,2015,39.77710046,-86.14634767,IN
900 block of Carpenter Street,Clarksville,Tennessee,3,23,2015,36.56968315,-87.34323717,TN
10140 Lomas NE,Albuquerque,New Mexico,3,22,2015,35.1055517,-106.6473884,NM
1802 Seventh Ave,Tampa,Florida,3,21,2015,27.96800236,-82.4763859,FL
1500 block of Reynolds Street,Lancaster,Texas,3,20,2015,31.53834907,-99.6497468,TX
200 block of Clinton Place,Newark,New Jersey,3,18,2015,40.72417185,-74.17242155,NJ
1504 West Main Street,Mesa,Arizona,3,18,2015,33.4150455,-111.8633583,AZ
748 N Madison St,Stockton,California,3,17,2015,37.97672722,-121.3121116,CA
2700 block of West Alondra Boulevard,Compton,California,3,15,2015,33.89316026,-118.2256332,CA
2900 block of Delmar Lane,Atlanta,Georgia,3,14,2015,33.76265247,-84.4231419,GA
84000 block of Bagdad Avenue,Coachella,California,3,14,2015,33.69102002,-116.145093,CA
1097 South First St.,Brookhaven,Mississippi,3,13,2015,31.58035526,-90.44323571,MS
3023 Victory Drive,Columbus,Georgia,3,10,2015,32.5099615,-84.87704106,GA
200 block of West 105th,Chicago,Illinois,3,9,2015,41.83861021,-87.68661087,IL
Wells Highway,Seneca,South Carolina,3,8,2015,34.68035607,-82.96207895,SC
3140 Olive St,Saint Louis,Missouri,3,7,2015,38.30885939,-92.50820581,MO
190 block of West Club Center Drive,San Bernardino,California,3,4,2015,34.13970281,-117.2942335,CA
4900 block of Steyr Street,Orange County,Florida,3,1,2015,28.14683286,-83.20422736,FL
9855 Chalmers St,Detroit,Michigan,3,1,2015,42.38402073,-83.10165683,MI
4300 block of Welbourne Road,Baltimore,Maryland,2,28,2015,39.30097988,-76.61064805,MD
18279 Highway H,Tyrone,Missouri,2,26,2015,38.30885939,-92.50820581,MO
5022 Mallow St,Houston,Texas,2,25,2015,29.65943987,-95.34769874,TX
Sheridan Road,Daytona Beach,Florida,2,23,2015,29.19768392,-81.08995843,FL
1706 Godman St.,Killeen,Texas,2,22,2015,31.120662,-97.6827687,TX
281 Lower Pond Court,Clarkesville,Georgia,2,22,2015,34.6309815,-83.5977582,GA
4224 Dorchester Road,Charleston,South Carolina,2,22,2015,32.8541985,-80.0058338,SC
1417 R Street,Sacramento,California,2,20,2015,38.56663215,-121.4682998,CA
7900 Scott Hamilton,Little Rock,Arkansas,2,17,2015,34.6779332,-92.3207959,AR
200 block of W. 14th Street,Long Beach,California,2,15,2015,33.80574739,-118.1612131,CA
9552 Adler Street,New Port Richey,Florida,2,9,2015,28.24656621,-82.71696025,FL
251 Dupree Rd,Friendship,Tennessee,2,8,2015,35.90737763,-89.24079491,TN
3640 Willow Tree Circle,Douglasville,Georgia,2,7,2015,33.73821118,-84.70627006,GA
1219 N. Sheridan Road,Tulsa,Oklahoma,2,6,2015,36.13544967,-95.91306967,OK
Harvard Road,Beachwood (Warrensville Heights),Ohio,2,5,2015,40.42858964,-82.70242359,OH
1217 West Fayette Street,Syracuse,New York,2,1,2015,42.6687355,-75.44096178,NY
3345 Broadway,New York (Manhattan),New York,2,1,2015,42.6687355,-75.44096178,NY
100 block of Woodstream Trail,Lagrange,Georgia,1,31,2015,33.02943338,-85.03610052,GA
1600 block of Panola Road,Dekalb County,Georgia,1,28,2015,32.6176611,-83.39219224,GA
1500 block of E. 9th Street,Stockton,California,1,26,2015,37.97672722,-121.3121116,CA
231-11 148th Avenue,Arverne (Queens),New York,1,24,2015,42.6687355,-75.44096178,NY
3402 Parker St,Omaha,Nebraska,1,24,2015,41.2766659,-95.9632482,NE
954 Parker Street,Boston,Massachusetts,1,23,2015,42.32421,-71.10047,MA
321 Lansinger Lane,Clarksville,Tennessee,1,20,2015,36.56968315,-87.34323717,TN
1000 block of Gibbs St.,San Antonio,Texas,1,19,2015,31.53834907,-99.6497468,TX
4100 block of Portsmouth Boulevard,Portsmouth,Virginia,1,13,2015,36.85892862,-76.35663454,VA
700 block of Oakley Avenue,Rockford,Illinois,1,13,2015,42.26315005,-89.06121191,IL
1900 block of Gumberry Road,Hope Mills,North Carolina,1,11,2015,34.96859881,-78.95332579,NC
7665 Chase Road,Lakeland,Florida,1,11,2015,28.1393481,-81.9818733,FL
3840 Monterey Hwy,San Jose,California,1,11,2015,37.24004903,-119.5032355,CA
4859 E Harry Street,Wichita,Kansas,1,10,2015,37.6906938,-97.3426776,KS
Laguna and Page streets,San Francisco,California,1,9,2015,37.75971499,-122.6939756,CA
104 Harrishof Street,Boston,Massachusetts,1,8,2015,42.31668,-71.08869,MA
773 West Main Street,Chattanooga,Tennessee,1,7,2015,35.06804894,-85.24908097,TN
1300 block of NW 62nd Street,Miami,Florida,1,6,2015,25.77525637,-80.20885121,FL
3634 Shenandoah Ave NW,Roanoke,Virginia,1,4,2015,37.28100328,-79.99849222,VA
2000 block of Ben Hur St.,Dallas,Texas,1,4,2015,32.79464486,-96.76633721,TX
500 block of W. 54th Street,Savannah,Georgia,1,2,2015,32.02831938,-81.17815866,GA
Interstate 240 and Poplar Avenue,Memphis,Tennessee,1,1,2015,35.10520292,-89.97735447,TN
27 Briarwood Ct,Lenox (El Dorado),Georgia,12,31,2016,32.6176611,-83.39219224,GA
3704 Fannin Street,Houston,Texas,12,31,2016,29.7804724,-95.3863425,TX
3230 Possum Run Rd,Mansfield,Ohio,12,30,2016,40.76557206,-82.52756264,OH
95 S Turnpike Road,Wallingford,Connecticut,12,30,2016,41.4486685,-72.846189,CT
2914 10th Street,Columbus,Georgia,12,28,2016,32.5099615,-84.87704106,GA
858 US-231,Ozark,Alabama,12,25,2016,31.44861044,-85.64654368,AL
8600 block of South Maryland Avenue,Chicago,Illinois,12,25,2016,41.83861021,-87.68661087,IL
4 North 3rd Avenue,Mount Vernon,New York,12,25,2016,40.91360085,-73.82910018,NY
490 K Ford Rd,Madison,North Carolina,12,24,2016,36.38682806,-79.97493395,NC
2241 Banks Lane East,Wilson,North Carolina,12,24,2016,35.7345877,-77.9314952,NC
